EventNum,Description,Title,Venue,Artists,Start Time,End Time,Street Address,City,State,Zip,URL,RSVP URL,Tags,Date,Day,Month,Day,Year,Start Time,Start Period,Start Hour,Start Minute,End Time,End Period,End Hour,End Minute,Venue+Address,Addres (Working),Street,City,State,Zip,Tags,Tags (Working),Consol. Event ID
315,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Asgeir Trausti,Cedar Street,"Ásgeir Trausti | Icelandic singersongwriter, Asgeir Trausti, may only be 20 years old but last summer he already made his mark on the Icelandic music scene with his two singles, Sumargestur and the smashhit Leyndarmal. Both singles belong to his debut album Dyrd i daudathogn, released in September. A digital presale on Icelandicmusic.com, a week before the release of the album, broke all records and showed clearly that Asgeir Trausti had already created a name for himself. Born and raised in the countryside of…",2013-03-14 11:40:00',2013-03-14 12:10:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/c271e030198e750cf4971879dba66d41,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 11:40am - 12:10pm",Thursday,3,14,2013,11:40am,am,11,40,12:10pm,pm,12,10,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
338,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Olafur Arnalds,Cedar Street,"Olafur Arnalds | Born in 1987, Ólafur hails from the suburban Icelandic town, Mosfellsbær, just a few kilometres outside of Reykjavík. He has immersed himself completely in a world of delicate symphonic compositions generating near weightless orchestral pieces. Arnalds explores the crossover from classical to pop by mixing chamber strings and piano with discreet electronics. His motivations are clear: “The classical scene is kind of closed to people who haven't been studying music all their lives. I would l…",2013-03-14 12:20:00',2013-03-14 12:50:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/aa5137dded71f412a2ef91ef02ea97be,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 12:20pm - 12:50pm",Thursday,3,14,2013,12:20pm,pm,12,20,12:50pm,pm,12,50,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
345,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Bastille,Cedar Street,Bastille | Bastille have moved away from the common output being churned out by indie bands to create pop songs that are absorbing and genre defining without ever being formulaic. The origins of Bastille lie in the creative mind of singer/song writer Dan Smith whose embracement of multieclectic musical styles have led to one of the most exciting sounds in new music today. Dan's songs are his stories; vehicles to muse on things he wants to talk about. He has the latitude to write tales with broad brush str…,2013-03-14 13:00:00',2013-03-14 14:00:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/675dcf2cfe89de75da3a1bc7a7ebb60d,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 1:00pm - 2:00pm",Thursday,3,14,2013,1:00pm,pm,13,0,2:00pm,pm,14,0,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
373,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Charli XCX,Cedar Street,"Charli XCX | Charli’s live performances, like her music, are raw but multilayered, sometimes stark but with a beating human heart. All pop is here, from Siouxsie to Spiceworld, The Knife to Nirvana. To achieve her intricate, postapocalyptic pop with its evocative titles like ‘Nuclear Seasons’, ‘End Of The World’ and ‘Stay Away’ Charli is almost a pop lightning rod, pulling influences out of the sky and channeling them into the synthetic beats, fizzy melodies and idiosyncratic perspectives tha…",2013-03-14 14:00:00',2013-03-14 15:00:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/d6605df138f8076dc334b633d514d047,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 2:00pm - 3:00pm",Thursday,3,14,2013,2:00pm,pm,14,0,3:00pm,pm,15,0,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
413,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Willy Moon,Cedar Street,"Willy Moon | Willy Moon doesn’t like to waste time. His debut album, Here’s Willy Moon, is less than 29 minutes long. Only one of its 12 songs lasts more than three minutes and not a single note is squandered. No bets were hedged during the making of this record. “Generally the most interesting stuff happen in the first two minutes anyway, the rest of it just bores me to tears,” he reasons. “I’m a great believer in simplicity and brevity. It’s also down to having a short attention span. I don…hellip;",2013-03-14 15:00:00',2013-03-14 16:00:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/1a67efcda6106fbbf514a949506aa1a3,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 3:00pm - 4:00pm",Thursday,3,14,2013,3:00pm,pm,15,0,4:00pm,pm,16,0,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
441,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Shout Out Louds,Cedar Street,"Shout Out Louds | Shout Out Louds will come to SXSW 2013 on the tail of the newly released fourth album ""Optica"". Released by Merge Records.http://shoutoutlouds.com",2013-03-14 16:00:00',2013-03-14 17:00:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/5b774a168aab4f9225bba444934b6221,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 4:00pm - 5:00pm",Thursday,3,14,2013,4:00pm,pm,16,0,5:00pm,pm,17,0,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
466,American Rag Presends Filter Magazine's Showdown at Cedar Street!,Local Natives,Cedar Street,"Local Natives | Los Angeles’ Local Natives will release their sophomore album, entitled Hummingbird, on Frenchkiss Records/Infectious Music on January 29th, 2013 (out in Europe January 28th). Much has happened between the band’s criticallyacclaimed album Gorilla Manor and the imminent release of Hummingbird. From rave reviews to brilliant television performances, Gorilla Manor launched the band onto the global stage, saw them headlining theaters throughout America and Europe, opening for bands like Arcade …",2013-03-14 17:00:00',2013-03-14 18:00:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/9665e29192d5d658ba5a43481169f513,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Thursday March 14, 2013 5:00pm - 6:00pm",Thursday,3,14,2013,5:00pm,pm,17,0,6:00pm,pm,18,0,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
628,American Rag Presents Filter Magazine's Showdown at Cedar Street!,NP,Cedar Street,NP,2013-03-15 11:00:00',2013-03-15 11:30:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/7a2dbcfb8b34a40f00a9c133464662e1,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Friday March 15, 2013 11:00am - 11:30am",Friday,3,15,2013,11:00am,am,11,0,11:30am,am,11,30,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
631,American Rag Presents Filter Magazine's Showdown at Cedar Street!,Kamp!,Cedar Street,0,2013-03-15 11:40:00',2013-03-15 12:10:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/7dbb1aa8700bbe6a1fab7d8ad8835a17,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Friday March 15, 2013 11:40am - 12:10pm",Friday,3,15,2013,11:40am,am,11,40,12:10pm,pm,12,10,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
643,American Rag Presents Filter Magazine's Showdown at Cedar Street!,Brodka,Cedar Street,"Brodka | Monika Brodka, the sprite‐like vocalist BRODKA, launched onto the Polish music scene with a bang as the winner of Polish Pop Idol in 2004 at the young age of 16. Since her debut, Brodka has released three LPs ‐ all of which received critical acclaim and garnered a huge fan base in Poland for the star. | Brodka’s first album, mature for a teenager, amazed audiences with its sensitivity and fresh approach to pop music ‐ but also proved that Brodka has an incredible voice. Brodka’s secon…",2013-03-15 12:20:00',2013-03-15 12:50:00',208 W 4th S ,Austin,TX,78701,http://austin2013.sched.org/event/5254ad9d8423ce97d88075343e745f56,http://filtermagazine.com/index.php/rsvp/entry/american_rag_presents_filter_magazines_2013_sxsw_showdown,,"Friday March 15, 2013 12:20pm - 12:50pm",Friday,3,15,2013,12:20pm,pm,12,20,12:50pm,pm,12,50,"Cedar Street (208 W 4th S , Austin, TX, 78701)","208 W 4th S , Austin, TX, 78701",208 W 4th S ,Austin,TX,78701,"Free Stuff Free Food, Tags 21+",,#N/A
